#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 13 16 40 330  2.0  4.0    MM    MM    MM  MM 1029.6   9.5  10.9    MM   MM   MM    MM
2024 03 13 16 30 360  2.0  4.0    MM    MM    MM  MM 1029.4   9.4  10.9    MM   MM   MM    MM
2024 03 13 16 20 340  3.0  5.0   4.2    14   9.6 298 1029.4   9.4  10.9    MM   MM   MM    MM
2024 03 13 16 10 350  2.0  4.0   4.2    MM   9.6 298 1029.5   9.4  10.9    MM   MM   MM    MM
2024 03 13 16 00 330  2.0  4.0    MM    MM    MM  MM 1029.3   9.3  10.9    MM   MM +1.8    MM
2024 03 13 15 50 340  2.0  4.0   3.7    15   8.7 283 1029.4   9.2  10.9    MM   MM   MM    MM
2024 03 13 15 40 290  1.0  3.0   3.7    MM   8.7 283 1029.2   9.1  10.9    MM   MM   MM    MM
2024 03 13 15 30 350  2.0  5.0    MM    MM    MM  MM 1029.3   9.0  10.9    MM   MM   MM    MM
2024 03 13 15 20 310  2.0  5.0   4.6    14   9.7 288 1029.2   9.0  10.9    MM   MM   MM    MM
2024 03 13 15 10  30  1.0  3.0   4.6    MM   9.7 288 1029.1   8.9  10.9    MM   MM   MM    MM
2024 03 13 15 00  20  1.0  3.0    MM    MM    MM  MM 1029.0   8.8  10.9    MM   MM +2.2    MM
2024 03 13 14 50 220  1.0  3.0   4.1    14   9.3 280 1028.9   8.7  10.9    MM   MM   MM    MM
2024 03 13 14 40 280  1.0  4.0    MM    MM    MM  MM 1028.7   8.6  10.9    MM   MM   MM    MM
2024 03 13 14 30 280  2.0  5.0    MM    MM    MM  MM 1028.5   8.5  10.9    MM   MM   MM    MM
2024 03 13 14 20 310  4.0  7.0   4.3    14   9.4 295 1028.1   8.9  10.9    MM   MM   MM    MM
2024 03 13 14 10 340  3.0  5.0   4.3    MM   9.4 295 1027.9   9.3  10.9    MM   MM   MM    MM
2024 03 13 14 00 330  3.0  5.0    MM    MM    MM  MM 1028.0   9.3  10.9    MM   MM +1.4    MM
2024 03 13 13 50 350  3.0  5.0   4.3    15   9.5 284 1028.0   9.2  11.0    MM   MM   MM    MM
2024 03 13 13 40 330  3.0  6.0    MM    MM    MM  MM 1027.9   9.3  11.0    MM   MM   MM    MM
2024 03 13 13 30 320  3.0  6.0    MM    MM    MM  MM 1027.8   9.3  11.0    MM   MM   MM    MM
2024 03 13 13 20 330  3.0  5.0   4.1    15   9.3 292 1027.5   9.3  11.0    MM   MM   MM    MM
2024 03 13 13 10 330  4.0  6.0   4.1    MM   9.3 292 1027.5   9.3  11.0    MM   MM   MM    MM
2024 03 13 13 00 320  4.0  6.0    MM    MM    MM  MM 1027.5   9.4  11.0    MM   MM +1.1    MM
2024 03 13 12 50 300  3.0  5.0   4.0    15   9.3 293 1027.3   9.5  11.0    MM   MM   MM    MM
2024 03 13 12 40 290  3.0  6.0   4.0    MM   9.3 293 1027.1   9.4  11.0    MM   MM   MM    MM
2024 03 13 12 30 290  3.0  6.0    MM    MM    MM  MM 1027.1   9.4  11.0    MM   MM   MM    MM
2024 03 13 12 20 290  3.0  5.0   4.5    14   9.5 292 1026.9   9.4  11.0    MM   MM   MM    MM
2024 03 13 12 10 300  3.0  6.0   4.5    MM   9.5 292 1026.8   9.4  11.0    MM   MM   MM    MM
2024 03 13 12 00 300  3.0  6.0    MM    MM    MM  MM 1026.8   9.4  11.0    MM   MM +1.0    MM
2024 03 13 11 50 300  3.0  6.0   4.5    15   9.6 298 1026.7   9.3  11.0    MM   MM   MM    MM
2024 03 13 11 40 310  3.0  5.0    MM    MM    MM  MM 1026.6   9.3    MM    MM   MM   MM    MM
2024 03 13 11 30 310  2.0  5.0    MM    MM    MM  MM 1026.5   9.2  11.0    MM   MM   MM    MM
2024 03 13 11 20 350  3.0  5.0   4.7    14   9.7 289 1026.3   9.2  11.0    MM   MM   MM    MM
2024 03 13 11 10 320  4.0  6.0    MM    MM    MM  MM 1026.5   9.4  11.0    MM   MM   MM    MM
2024 03 13 11 00 300  4.0  7.0    MM    MM    MM  MM 1026.6   9.4  11.0    MM   MM +1.0    MM
2024 03 13 10 50 300  4.0  6.0   4.7    15  10.1 294 1026.4   9.4  11.0    MM   MM   MM    MM
2024 03 13 10 40 300  4.0  7.0    MM    MM    MM  MM 1026.5   9.3  11.0    MM   MM   MM    MM
2024 03 13 10 30 290  3.0  6.0    MM    MM    MM  MM 1026.6   9.3  11.0    MM   MM   MM    MM
2024 03 13 10 20 280  4.0  7.0   4.7    14   9.8 292 1026.5   9.3  11.0    MM   MM   MM    MM
2024 03 13 10 10 300  4.0  7.0   4.7    MM   9.8 292 1026.5   9.3  11.0    MM   MM   MM    MM
2024 03 13 10 00 300  4.0  7.0    MM    MM    MM  MM 1026.4   9.3    MM    MM   MM +1.1    MM
2024 03 13 09 50 300  4.0  6.0   4.3    15   9.5 291 1026.4   9.3  11.0    MM   MM   MM    MM
2024 03 13 09 40 300  4.0  6.0    MM    MM    MM  MM 1026.2   9.3  11.0    MM   MM   MM    MM
2024 03 13 09 30 300  4.0  6.0    MM    MM    MM  MM 1026.1   9.2  11.0    MM   MM   MM    MM
2024 03 13 09 20 300  4.0  6.0   4.3    15   9.4 295 1025.9   9.2  11.0    MM   MM   MM    MM
2024 03 13 09 10 300  4.0  6.0   4.3    MM   9.4 295 1025.8   9.1  11.0    MM   MM   MM    MM
2024 03 13 09 00 320  2.0  4.0    MM    MM    MM  MM 1025.8   8.8  11.0    MM   MM +0.7    MM
2024 03 13 08 50 290  2.0  4.0   5.0    15  10.3 299 1025.8   8.6  11.0    MM   MM   MM    MM
